Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_INSTS_VMEM,SQ_INST_LEVEL_VMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,2696918,2696918,33554432,1024,0,0,12,4,32,64,0x0,0x7fad0cb15380,1572864,14609861869,1636304572272,389192650992613,391272811768609,391273054562324,389192944715290
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,2696918,2696918,33554432,1024,0,0,8,0,16,64,0x0,0x7fad0cb15200,1048576,2917242559,326731175292,389192944657780,391273054616110,391273136699487,389193031904336
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,2696918,2696918,33554432,1024,0,0,8,0,16,64,0x0,0x7fad0cb15280,1048576,2182366825,244425123120,389193031842887,391273136728290,391273208075188,389193098356395
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,2696918,2696918,33554432,1024,0,0,8,0,16,64,0x0,0x7fad0cb15240,1572864,1933827380,216588642380,389193098299956,391273208100788,391273256569490,389193146199673
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,2696918,2696918,33554432,1024,0,0,8,0,16,64,0x0,0x7fad0cb152c0,1572864,1916189165,214613072004,389193146153634,391273256596162,391273303708066,389193193491987
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,2696918,2696918,16777216,1024,8192,0,20,4,32,64,0x0,0x7fad0cb15340,1064960,920955732,103147021276,389193193438128,391273303734466,391273322971225,389193212716651
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,2696918,2696918,33554432,1024,0,0,8,0,16,64,0x0,0x7fad0cb15200,1048576,2573802380,288265732604,389193212683072,391273323018933,391273388849680,389193293698515
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,2696918,2696918,33554432,1024,0,0,8,0,16,64,0x0,0x7fad0cb15280,1048576,2430332840,272197218392,389193293644275,391273388879521,391273464597921,389193365028141
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,2696918,2696918,33554432,1024,0,0,8,0,16,64,0x0,0x7fad0cb15240,1572864,2184938238,244713238468,389193364964472,391273464650721,391273512107259,389193420347329
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,2696918,2696918,33554432,1024,0,0,8,0,16,64,0x0,0x7fad0cb152c0,1572864,1902234824,213050239896,389193420301380,391273512135618,391273559929752,389193467663733
10,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,20,2696918,2696918,16777216,1024,8192,0,20,4,32,64,0x0,0x7fad0cb15340,1064960,942763572,105589485960,389193467609083,391273559963352,391273579028108,389193486863307
11,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,22,2696918,2696918,33554432,1024,0,0,8,0,16,64,0x0,0x7fad0cb15200,1052304,2375453976,266050826013,389193486834298,391273579076710,391273651356888,389193570521592
12,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,24,2696918,2696918,33554432,1024,0,0,8,0,16,64,0x0,0x7fad0cb15280,1048576,2508963643,281003886004,389193570518602,391273651390416,391273742303979,389193645972725
13,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,26,2696918,2696918,33554432,1024,0,0,8,0,16,64,0x0,0x7fad0cb15240,1572864,2342647168,262376473876,389193645911165,391273742363339,391273790725632,389193705812404
14,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,28,2696918,2696918,33554432,1024,0,0,8,0,16,64,0x0,0x7fad0cb152c0,1572864,2455689435,275037162404,389193705772654,391273790761535,391273839367814,389193766808101
15,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,30,2696918,2696918,16777216,1024,8192,0,20,4,32,64,0x0,0x7fad0cb15340,1064960,911933409,102136546379,389193766752822,391273839399974,391273858476085,389193786188914
16,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,32,2696918,2696918,33554432,1024,0,0,8,0,16,64,0x0,0x7fad0cb15200,1052928,2243822859,251308083172,389193786160054,391273858522227,391273941359673,389193876295610
17,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,34,2696918,2696918,33554432,1024,0,0,8,0,16,64,0x0,0x7fad0cb15280,1048576,3161919673,354134994940,389193876218401,391273941402195,391274025107760,389193968021428
18,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,36,2696918,2696918,33554432,1024,0,0,8,0,16,64,0x0,0x7fad0cb15240,1572864,2453362096,274776572004,389193967955649,391274025152080,391274079469712,389194029113494
19,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,38,2696918,2696918,33554432,1024,0,0,8,0,16,64,0x0,0x7fad0cb152c0,1581184,2255243991,252587300989,389194029065125,391274079497641,391274127220408,389194111768500
20,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,40,2696918,2696918,16777216,1024,8192,0,20,4,32,64,0x0,0x7fad0cb15340,1064960,969090102,108538107489,389194111704290,391274127247768,391274146289641,389194130946895
21,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,42,2696918,2696918,33554432,1024,0,0,8,0,16,64,0x0,0x7fad0cb15200,1048576,2283974574,255805125224,389194130911115,391274146333887,391274243949971,389194201097134
22,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,44,2696918,2696918,33554432,1024,0,0,8,0,16,64,0x0,0x7fad0cb15280,1048576,2837385558,317787093556,389194201042464,391274244091072,391274319338576,389194287296021
23,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,46,2696918,2696918,33554432,1024,0,0,8,0,16,64,0x0,0x7fad0cb15240,1572864,1980564494,221823179152,389194287258362,391274319371376,391274367048223,389194352021669
24,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,48,2696918,2696918,33554432,1024,0,0,8,0,16,64,0x0,0x7fad0cb152c0,1572864,1854814418,207739167596,389194351956189,391274367076012,391274415510618,389194400025375
25,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,50,2696918,2696918,16777216,1024,8192,0,20,4,32,64,0x0,0x7fad0cb15340,1064960,936242174,104859099184,389194399971245,391274415538298,391274434580011,389194419310488
26,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,52,2696918,2696918,33554432,1024,0,0,8,0,16,64,0x0,0x7fad0cb15200,1048576,2240205570,250903097332,389194419248459,391274434628880,391274532991514,389194487597218
27,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,54,2696918,2696918,33554432,1024,0,0,8,0,16,64,0x0,0x7fad0cb15280,1048576,3071615036,344020802648,389194487538858,391274533060098,391274604053199,389194578310377
28,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,56,2696918,2696918,33554432,1024,0,0,8,0,16,64,0x0,0x7fad0cb15240,1572864,2388207483,267479243828,389194578249948,391274604087439,391274655391308,389194639043637
29,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,58,2696918,2696918,33554432,1024,0,0,8,0,16,64,0x0,0x7fad0cb152c0,1579680,1813374850,203097789432,389194638995877,391274655420708,391274702348912,389194704133770
