Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,CPC_ME1_BUSY_FOR_PACKET_DECODE,SQ_CYCLES,SQ_WAVES,SQ_WAVE_CYCLES,SQ_BUSY_CYCLES,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,2697638,2697638,33554432,1024,0,0,12,4,32,64,0x0,0x7f32a4bed380,460263439,460263439,420513,3682107520,524288,185812562400,3673775216,0,743264167720,389278198739573,391272811768609,391273054562324,389278491292396
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed200,114446808,114446808,245160,915574472,524288,62911467405,915143821,0,251659799556,389278491284046,391273054616110,391273136699487,389278559556403
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed280,127994418,127994418,278196,1023955352,524288,70499087899,1023610102,0,282010273924,389278559525183,391273136728290,391273208075188,389278635847619
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed240,98915391,98915391,98401,791323136,524288,46434707657,790450005,0,185752764560,389278635815260,391273208100788,391273256569490,389278694790930
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed2c0,99692125,99692125,97973,797537008,524288,46786586753,795971957,0,187160263920,389278694766830,391273256596162,391273303708066,389278754205585
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,2697638,2697638,16777216,1024,8192,0,20,4,32,64,0x0,0x7f32a4bed340,32343497,32343497,91947,258747984,262144,16967829198,258426396,0,67878447916,389278754174675,391273303734466,391273322971225,389278773612741
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed200,115674311,115674311,177971,925394496,524288,64226647137,925138318,0,256920507272,389278773604321,391273323018933,391273388849680,389278842705560
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed280,141000721,141000721,151431,1128005776,524288,76828521955,1127698744,0,307328011272,389278842678170,391273388879521,391273464597921,389278926715759
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed240,100424570,100424570,111162,803396568,524288,45253565517,802296789,0,181028191496,389278926680380,391273464650721,391273512107259,389278986544691
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed2c0,101578839,101578839,81091,812630720,524288,48044662097,811434513,0,192192567100,389278986519771,391273512135618,391273559929752,389279047097385
10,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,20,2697638,2697638,16777216,1024,8192,0,20,4,32,64,0x0,0x7f32a4bed340,32324428,32324428,50839,258595432,262144,17434169383,258091880,0,69743805544,389279047070045,391273559963352,391273579028108,389279066488771
11,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,22,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed200,134469715,113248403,169207,1075757728,524366,61622646600,904873571,0,246504518276,389279066483961,391273579076710,391273651356888,389279146619779
12,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,24,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed280,143492629,143492629,180116,1147941040,524288,79261010383,1147599767,0,317057962256,389279146607079,391273651390416,391273742303979,389279232298812
13,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,26,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed240,101311244,101311244,79016,810489960,524288,46400171070,809761011,0,185614616264,389279232265362,391273742363339,391273790725632,389279292698738
14,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,28,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed2c0,138785268,100756752,183664,1110282152,524940,46799495107,804331470,0,187211923564,389279292678398,391273790761535,391273839367814,389279375267451
15,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,30,2697638,2697638,16777216,1024,8192,0,20,4,32,64,0x0,0x7f32a4bed340,32013014,32013014,86671,256104120,262144,17423214310,255940330,0,69699989172,389279375264251,391273839399974,391273858476085,389279394516579
16,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,32,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed200,126027828,126027828,274410,1008222632,524288,70030284359,1007877826,0,280135058192,389279394513189,391273858522227,391273941359673,389279469663047
17,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,34,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed280,148661588,148661588,129506,1189292712,524288,82660523084,1188920083,0,330656012320,389279469626917,391273941402195,391274025107760,389279558252490
18,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,36,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed240,123733274,89491290,211967,989866200,525236,42639669552,714886684,0,170572634352,389279558221411,391274025152080,391274079469712,389279631874924
19,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,38,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed2c0,79760762,79760762,45879,638086104,524288,37391265943,636958886,0,149578989428,389279631862344,391274079497641,391274127220408,389279679464237
20,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,40,2697638,2697638,16777216,1024,8192,0,20,4,32,64,0x0,0x7f32a4bed340,32707402,32707402,80645,261659224,262144,17375387045,261246116,0,69508682408,389279679440238,391274127247768,391274146289641,389279699090731
21,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,42,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed200,116206754,116206754,224746,929654040,524288,64278540504,929219682,0,257128088008,389279699081101,391274146333887,391274243949971,389279768371578
22,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,44,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed280,129851203,129851203,105712,1038809632,524288,70212791157,1038483838,0,280865091360,389279768337758,391274244091072,391274319338576,389279845876283
23,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,46,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed240,109132667,80469973,108398,873061344,525636,37430081930,642394129,0,149734304000,389279845838273,391274319371376,391274367048223,389279910855162
24,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,48,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed2c0,93090334,93090334,120973,744722680,524288,43980936622,743604467,0,175937668380,389279910827993,391274367076012,391274415510618,389279966375437
25,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,50,2697638,2697638,16777216,1024,8192,0,20,4,32,64,0x0,0x7f32a4bed340,32400334,32400334,97642,259202680,262144,17822063813,258727770,0,71295387408,389279966350127,391274415538298,391274434580011,389279985828082
26,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,52,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed200,115221641,115221641,154915,921773136,524288,64078455460,921269820,0,256327741756,389279985812103,391274434628880,391274532991514,389280054530885
27,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,54,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed280,144064405,144064405,165198,1152515248,524288,78122087900,1152051022,0,312502279808,389280054497245,391274533060098,391274604053199,389280140354916
28,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,56,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed240,90549152,90549152,92587,724393224,524288,43511131043,722963892,0,174058449092,389280140321206,391274604087439,391274655391308,389280194315156
29,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,58,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed2c0,110372380,80163509,88420,882979048,525008,37520769340,640206295,0,150097036188,389280194302686,391274655420708,391274702348912,389280260144127
30,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,60,2697638,2697638,16777216,1024,8192,0,20,4,32,64,0x0,0x7f32a4bed340,32683530,32683530,75132,261468248,262144,17298055177,261128564,0,69199350940,389280260136688,391274702370832,391274721411103,389280279943340
31,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,62,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed200,113168538,113168538,95777,905348312,524288,61890386045,904999929,0,247575462072,389280279941440,391274721454123,391274807493922,389280347406394
32,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,64,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed280,132722084,132722084,279833,1061776680,524288,72828105743,1061281360,0,291326343820,389280347397994,391274807528316,391274913981239,389280426593082
33,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,66,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed240,85150141,85150141,70690,681201136,524288,40219574956,680342260,0,160892225564,389280426567422,391274914044759,391274964728024,389280477353394
34,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,68,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed2c0,80362373,80362373,86707,642898992,524288,39592445055,641952315,0,158383703168,389280477333685,391274964755870,391275012456391,389280525305394
35,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,70,2697638,2697638,16777216,1024,8192,0,20,4,32,64,0x0,0x7f32a4bed340,70707417,32520446,113757,565659344,263664,17409056347,259288240,0,69643397328,389280525276485,391275012483271,391275031734421,389280567406393
36,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,72,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed200,109398016,109398016,229002,875184136,524288,59288635066,874824049,0,237168458420,389280567420733,391275031779286,391275097915922,389280632749570
37,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,74,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed280,131592333,131592333,80605,1052738672,524288,72855902659,1052386545,0,291437535984,389280632717610,391275097944619,391275197203576,389280711178025
38,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,76,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed240,82804231,82804231,56820,662433856,524288,39659142483,660660189,0,158650502296,389280711146935,391275197244536,391275245209697,389280760554931
39,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,78,2697638,2697638,33554432,1024,0,0,8,0,16,64,0x0,0x7f32a4bed2c0,79842480,79842480,118631,638739848,524288,38690405669,637996412,0,154775548944,389280760530141,391275245231313,391275292512637,389280808191154
