Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,2695953,2695953,33554432,1024,0,0,12,4,32,64,0x0,0x7fbdf3ab5380,459890007,459890007,524288,2621440,392871,43895476,388935021020598,391272811768609,391273054562324,388935313326621
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,2695953,2695953,33554432,1024,0,0,8,0,16,64,0x0,0x7fbdf3ab5200,149299499,149299499,524288,1572864,230317,25849524,388935313306072,391273054616110,391273136699487,388935402334280
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,2695953,2695953,33554432,1024,0,0,8,0,16,64,0x0,0x7fbdf3ab5280,136283266,136283266,524288,2097152,304941,34008068,388935402307620,391273136728290,391273208075188,388935483559443
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,2695953,2695953,33554432,1024,0,0,8,0,16,64,0x0,0x7fbdf3ab5240,80144586,80144586,524288,2621440,383581,42930772,388935483530143,391273208100788,391273256569490,388935531337587
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,2695953,2695953,33554432,1024,0,0,8,0,16,64,0x0,0x7fbdf3ab52c0,80793092,80793092,524288,2621440,383783,42945300,388935531314157,391273256596162,391273303708066,388935579517246
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,2695953,2695953,16777216,1024,8192,0,20,4,32,64,0x0,0x7fbdf3ab5340,32011332,32011332,262144,10125312,1504292,168555056,388935579490027,391273303734466,391273322971225,388935598682100
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,2695953,2695953,33554432,1024,0,0,8,0,16,64,0x0,0x7fbdf3ab5200,120936839,120936839,524288,1572864,226084,25165824,388935598694019,391273323018933,391273388849680,388935670858950
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,2695953,2695953,33554432,1024,0,0,8,0,16,64,0x0,0x7fbdf3ab5280,136861857,136861857,524288,2097152,301056,33554488,388935670828840,391273388879521,391273464597921,388935752431469
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,2695953,2695953,33554432,1024,0,0,8,0,16,64,0x0,0x7fbdf3ab5240,79121283,79121283,524288,2621440,373902,41943040,388935752373280,391273464650721,391273512107259,388935799598140
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,2695953,2695953,33554432,1024,0,0,8,0,16,64,0x0,0x7fbdf3ab52c0,89401330,89401330,524288,2621440,375074,41943068,388935799552830,391273512135618,391273559929752,388935852862765
