Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,2923509,2923509,33554432,1024,0,0,12,4,32,64,0x0,0x7f88f4fed380,391272811740085,391272811768609,391273054562324,391273054665233
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,2923509,2923509,33554432,1024,0,0,8,0,16,64,0x0,0x7f88f4fed200,391273054599004,391273054616110,391273136699487,391273136765066
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,2923509,2923509,33554432,1024,0,0,8,0,16,64,0x0,0x7f88f4fed280,391273136713646,391273136728290,391273208075188,391273208141897
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,2923509,2923509,33554432,1024,0,0,8,0,16,64,0x0,0x7f88f4fed240,391273208090578,391273208100788,391273256569490,391273256627500
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,2923509,2923509,33554432,1024,0,0,8,0,16,64,0x0,0x7f88f4fed2c0,391273256582210,391273256596162,391273303708066,391273303757225
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,2923509,2923509,16777216,1024,8192,0,20,4,32,64,0x0,0x7f88f4fed340,391273303721055,391273303734466,391273322971225,391273323049177
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,2923509,2923509,33554432,1024,0,0,8,0,16,64,0x0,0x7f88f4fed200,391273323003657,391273323018933,391273388849680,391273388917909
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,2923509,2923509,33554432,1024,0,0,8,0,16,64,0x0,0x7f88f4fed280,391273388864970,391273388879521,391273464597921,391273464681020
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,2923509,2923509,33554432,1024,0,0,8,0,16,64,0x0,0x7f88f4fed240,391273464627171,391273464650721,391273512107259,391273512165772
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,2923509,2923509,33554432,1024,0,0,8,0,16,64,0x0,0x7f88f4fed2c0,391273512121352,391273512135618,391273559929752,391273560014331
10,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,20,2923509,2923509,16777216,1024,8192,0,20,4,32,64,0x0,0x7f88f4fed340,391273559948761,391273559963352,391273579028108,391273579106545
11,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,22,2923509,2923509,33554432,1024,0,0,8,0,16,64,0x0,0x7f88f4fed200,391273579061415,391273579076710,391273651356888,391273651429197
12,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,24,2923509,2923509,33554432,1024,0,0,8,0,16,64,0x0,0x7f88f4fed280,391273651375738,391273651390416,391273742303979,391273742409138
13,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,26,2923509,2923509,33554432,1024,0,0,8,0,16,64,0x0,0x7f88f4fed240,391273742343288,391273742363339,391273790725632,391273790793072
14,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,28,2923509,2923509,33554432,1024,0,0,8,0,16,64,0x0,0x7f88f4fed2c0,391273790745552,391273790761535,391273839367814,391273839438123
15,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,30,2923509,2923509,16777216,1024,8192,0,20,4,32,64,0x0,0x7f88f4fed340,391273839385573,391273839399974,391273858476085,391273858552796
16,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,32,2923509,2923509,33554432,1024,0,0,8,0,16,64,0x0,0x7f88f4fed200,391273858507367,391273858522227,391273941359673,391273941448632
17,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,34,2923509,2923509,33554432,1024,0,0,8,0,16,64,0x0,0x7f88f4fed280,391273941381002,391273941402195,391274025107760,391274025188359
18,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,36,2923509,2923509,33554432,1024,0,0,8,0,16,64,0x0,0x7f88f4fed240,391274025131460,391274025152080,391274079469712,391274079529708
19,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,38,2923509,2923509,33554432,1024,0,0,8,0,16,64,0x0,0x7f88f4fed2c0,391274079481458,391274079497641,391274127220408,391274127284877
20,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,40,2923509,2923509,16777216,1024,8192,0,20,4,32,64,0x0,0x7f88f4fed340,391274127232288,391274127247768,391274146289641,391274146364501
21,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,42,2923509,2923509,33554432,1024,0,0,8,0,16,64,0x0,0x7f88f4fed200,391274146319521,391274146333887,391274243949971,391274244087390
22,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,44,2923509,2923509,33554432,1024,0,0,8,0,16,64,0x0,0x7f88f4fed280,391274244040610,391274244091072,391274319338576,391274319411504
23,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,46,2923509,2923509,33554432,1024,0,0,8,0,16,64,0x0,0x7f88f4fed240,391274319355645,391274319371376,391274367048223,391274367106835
