Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
29,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,58,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f86264552c0,366790060512568,366790060528738,366790126858329,366790126978677
30,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,60,3171789,3171789,16777216,1024,8192,0,20,4,32,64,0x0,0x7f8626455340,366790126912678,366790126940409,366790146154279,366790146232038
31,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,62,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455200,366790146186258,366790146200910,366790213203124,366790213253032
32,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,64,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455280,366790213216643,366790213230201,366790294290137,366790294358946
33,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,66,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455240,366790294304636,366790294321017,366790355229007,366790355292407
34,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,68,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f86264552c0,366790355245048,366790355259811,366790416029561,366790416094590
35,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,70,3171789,3171789,16777216,1024,8192,0,20,4,32,64,0x0,0x7f8626455340,366790416042091,366790416053081,366790435085666,366790435189862
36,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,72,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455200,366790435114462,366790435188466,366790525248062,366790525323711
37,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,74,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455280,366790525267732,366790525287217,366790614714478,366790614757857
38,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,76,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455240,366790614729907,366790614744398,366790663729854,366790663789139
39,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,78,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f86264552c0,366790663744209,366790663755145,366790711713892,366790711779281
40,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,80,3171789,3171789,16777216,1024,8192,0,20,4,32,64,0x0,0x7f8626455340,366790711726362,366790711741892,366790731159596,366790731232840
41,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,82,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455200,366790731188500,366790731202429,366790820176900,366790820249009
42,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,84,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455280,366790820196260,366790820213680,366790909030871,366790909098210
43,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,86,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455240,366790909044021,366790909061271,366790969378860,366790969445807
44,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,88,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f86264552c0,366790969398598,366790969413983,366791025821669,366791025885928
45,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,90,3171789,3171789,16777216,1024,8192,0,20,4,32,64,0x0,0x7f8626455340,366791025832978,366791025852229,366791044882736,366791044958943
46,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,92,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455200,366791044911364,366791044940022,366791120988606,366791121135106
47,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,94,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455280,366791121021416,366791121048607,366791199412880,366791199481299
48,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,96,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455240,366791199425310,366791199442160,366791247069713,366791247124568
49,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,98,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f86264552c0,366791247079968,366791247092187,366791302941956,366791303023065
50,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,100,3171789,3171789,16777216,1024,8192,0,20,4,32,64,0x0,0x7f8626455340,366791302954765,366791302971076,366791322221582,366791322293909
51,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,102,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455200,366791322249189,366791322264403,366791388928384,366791388995773
52,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,104,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455280,366791388939303,366791388955983,366791468768884,366791468840833
53,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,106,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455240,366791468785924,366791468801684,366791529194797,366791529256071
54,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,108,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f86264552c0,366791529208402,366791529224008,366791607061239,366791607175689
55,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,110,3171789,3171789,16777216,1024,8192,0,20,4,32,64,0x0,0x7f8626455340,366791607113289,366791607142679,366791626362146,366791626439922
56,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,112,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455200,366791626395013,366791626409841,366791696033652,366791696104121
57,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,114,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455280,366791696051431,366791696066571,366791777387149,366791777435179
58,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,116,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455240,366791777401399,366791777416429,366791836069067,366791836112862
59,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,118,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f86264552c0,366791836083432,366791836098879,366791896567360,366791896634389
60,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,120,3171789,3171789,16777216,1024,8192,0,20,4,32,64,0x0,0x7f8626455340,366791896579190,366791896594880,366791915815628,366791915890093
61,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,122,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455200,366791915844583,366791915859915,366791982796535,366791982864974
62,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,124,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455280,366791982810935,366791982826202,366792073740840,366792073816689
63,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,126,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455240,366792073760580,366792073778760,366792123123107,366792123184513
64,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,128,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f86264552c0,366792123137533,366792123153676,366792183051916,366792183117795
65,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,130,3171789,3171789,16777216,1024,8192,0,20,4,32,64,0x0,0x7f8626455340,366792183064066,366792183079436,366792202287863,366792202362429
66,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,132,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455200,366792202317039,366792202331737,366792269677158,366792269743207
67,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,134,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455280,366792269691068,366792269706986,366792336783929,366792336850158
68,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,136,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455240,366792336797308,366792336811769,366792384197722,366792384233899
69,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,138,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f86264552c0,366792384207099,366792384217730,366792464109199,366792464186938
70,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,140,3171789,3171789,16777216,1024,8192,0,20,4,32,64,0x0,0x7f8626455340,366792464130219,366792464148559,366792483400187,366792483474902
71,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,142,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455200,366792483429842,366792483444831,366792550331695,366792550396224
72,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,144,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455280,366792550342814,366792550358676,366792629892548,366792629960357
73,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,146,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455240,366792629907647,366792629923428,366792690066309,366792690126167
74,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,148,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f86264552c0,366792690077987,366792690094091,366792750733454,366792750801753
