Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,1093612,1093612,33554432,1024,0,0,12,4,32,64,0x0,0x7f69d86f5380,348218726,348218726,524288,2621440,383649,42920500,380971064869001,381960359710622,381960570254218,380971291962464
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,1093612,1093612,33554432,1024,0,0,8,0,16,64,0x0,0x7f69d86f5200,116501971,116501971,524288,1572864,232520,25966580,380971291928984,381960570336288,381960634059429,380971361692616
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,1093612,1093612,33554432,1024,0,0,8,0,16,64,0x0,0x7f69d86f5280,119290111,119290111,524288,2097152,301450,34029948,380971361651197,381960634093901,381960698142649,380971432999493
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,1093612,1093612,33554432,1024,0,0,8,0,16,64,0x0,0x7f69d86f5240,80707010,80707010,524288,2621440,386297,43101608,380971432950283,381960698174809,381960749863856,380971481281305
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,1093612,1093612,33554432,1024,0,0,8,0,16,64,0x0,0x7f69d86f52c0,81068779,81068779,524288,2621440,384381,42923992,380971481275566,381960749903225,381960801063174,380971529794526
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,1093612,1093612,16777216,1024,8192,0,20,4,32,64,0x0,0x7f69d86f5340,32056216,32056216,262144,10125312,1493605,167133856,380971529767947,381960801096614,381960820245454,380971549220337
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,1093612,1093612,33554432,1024,0,0,8,0,16,64,0x0,0x7f69d86f5200,115665271,115665271,524288,1572864,225897,25165824,380971549196217,381960820294633,381960884162099,380971618414185
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,1093612,1093612,33554432,1024,0,0,8,0,16,64,0x0,0x7f69d86f5280,114846464,114846464,524288,2097152,298523,33554608,380971618348835,381960884192942,381960947742641,380971687157467
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,1093612,1093612,33554432,1024,0,0,8,0,16,64,0x0,0x7f69d86f5240,81886314,81886314,524288,2621440,375181,41943052,380971687100488,381960947770161,381960998740320,380971736152103
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,1093612,1093612,33554432,1024,0,0,8,0,16,64,0x0,0x7f69d86f52c0,80770534,80770534,524288,2621440,374226,41943080,380971736140413,381960998772992,381961049523304,380971784468166
