Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,CPC_ME1_BUSY_FOR_PACKET_DECODE,SQ_CYCLES,SQ_WAVES,SQ_WAVE_CYCLES,SQ_BUSY_CYCLES,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,1209264,1209264,33554432,1024,0,0,12,4,32,64,0x0,0x7f651ea55380,356841443,356841443,292122,2854731552,524288,151998091276,2849684087,0,608006287144,381082135263693,381960359710622,381960570254218,381082367807276
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,1209264,1209264,33554432,1024,0,0,8,0,16,64,0x0,0x7f651ea55200,115149033,115149033,77482,921192272,524288,63075183825,920868876,0,252314653976,381082367829695,381960570336288,381960634059429,381082436718029
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,1209264,1209264,33554432,1024,0,0,8,0,16,64,0x0,0x7f651ea55280,122699073,122699073,259383,981592592,524288,70015137123,981288600,0,280074478852,381082436728559,381960634093901,381960698142649,381082510077414
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,1209264,1209264,33554432,1024,0,0,8,0,16,64,0x0,0x7f651ea55240,81112116,81112116,89747,648896936,524288,38538422713,648355464,0,154167619864,381082510076084,381960698174809,381960749863856,381082558663308
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,1209264,1209264,33554432,1024,0,0,8,0,16,64,0x0,0x7f651ea552c0,81043594,81043594,88447,648348760,524288,40248826980,647152794,0,161009227376,381082558681398,381960749903225,381960801063174,381082607192034
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,1209264,1209264,16777216,1024,8192,0,20,4,32,64,0x0,0x7f651ea55340,32026761,32026761,121432,256214096,262144,17919280138,256038029,0,71684248812,381082607221144,381960801096614,381960820245454,381082626583547
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,1209264,1209264,33554432,1024,0,0,8,0,16,64,0x0,0x7f651ea55200,123349229,123349229,377784,986793840,524288,70128268298,986447275,0,280526997480,381082626604126,381960820294633,381960884162099,381082700261737
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,1209264,1209264,33554432,1024,0,0,8,0,16,64,0x0,0x7f651ea55280,115108182,115108182,273982,920865464,524288,64152849920,920549198,0,256625316952,381082700256527,381960884192942,381960947742641,381082769086021
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,1209264,1209264,33554432,1024,0,0,8,0,16,64,0x0,0x7f651ea55240,81856287,81856287,134304,654850304,524288,39200385878,654344628,0,156815470772,381082769097811,381960947770161,381960998740320,381082818126369
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,1209264,1209264,33554432,1024,0,0,8,0,16,64,0x0,0x7f651ea552c0,80257199,80257199,117411,642057600,524288,37961269959,641234334,0,151859002468,381082818130269,381960998772992,381961049523304,381082866197761
10,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,20,1209264,1209264,16777216,1024,8192,0,20,4,32,64,0x0,0x7f651ea55340,32048753,32048753,85762,256390032,262144,17920617540,256023859,0,71689596804,381082866209001,381961049551944,381961068679011,381082885551754
11,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,22,1209264,1209264,33554432,1024,0,0,8,0,16,64,0x0,0x7f651ea55200,121725551,121725551,338873,973804416,524288,67933644244,973322650,0,271748498188,381082885593604,381961068725171,381961134609946,381082958200270
12,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,24,1209264,1209264,33554432,1024,0,0,8,0,16,64,0x0,0x7f651ea55280,135397027,111873122,263450,1083176224,524368,63150980777,894236029,0,252617841024,381082958211320,381961134639764,381961199812028,381083039046200
13,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,26,1209264,1209264,33554432,1024,0,0,8,0,16,64,0x0,0x7f651ea55240,80467333,80467333,64206,643738672,524288,37815951378,642834402,0,151277730032,381083039082310,381961199844175,381961262841313,381083087278831
14,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,28,1209264,1209264,33554432,1024,0,0,8,0,16,64,0x0,0x7f651ea552c0,79947699,79947699,117739,639581600,524288,36428193363,638755077,0,145726693396,381083087303550,381961263631234,381961315123379,381083135158986
15,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,30,1209264,1209264,16777216,1024,8192,0,20,4,32,64,0x0,0x7f651ea55340,32070689,32070689,108576,256565520,262144,17787404519,256303331,0,71156754856,381083135185646,381961315333449,381961334482114,381083154551879
16,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,32,1209264,1209264,33554432,1024,0,0,8,0,16,64,0x0,0x7f651ea55200,113897935,113897935,277294,911183488,524288,63069417885,910920708,0,252291589992,381083154592898,381961334623823,381961398845192,381083222557716
17,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,34,1209264,1209264,33554432,1024,0,0,8,0,16,64,0x0,0x7f651ea55280,157043147,115395165,247918,1256345184,524432,64038444194,922024286,0,256167710660,381083222568935,381961398908742,381961462513304,381083316215589
18,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,36,1209264,1209264,33554432,1024,0,0,8,0,16,64,0x0,0x7f651ea55240,81774902,81774902,132590,654199224,524288,37909457105,653474533,0,151651756668,381083316244479,381961462583100,381961642037137,381083365172398
19,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,38,1209264,1209264,33554432,1024,0,0,8,0,16,64,0x0,0x7f651ea552c0,80798108,80798108,115640,646384872,524288,37852227879,645219296,0,151422830300,381083365189028,381961642179377,381961692810335,381083413518496
20,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,40,1209264,1209264,16777216,1024,8192,0,20,4,32,64,0x0,0x7f651ea55340,32012216,32012216,92581,256097736,262144,17706953199,255656288,0,70834947664,381083413528586,381961692846496,381961711972758,381083432883670
21,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,42,1209264,1209264,33554432,1024,0,0,8,0,16,64,0x0,0x7f651ea55200,118747125,118747125,241397,949977008,524288,66592849452,949353518,0,266385322180,381083432908039,381961712034895,381961942855193,381083503800052
22,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,44,1209264,1209264,33554432,1024,0,0,8,0,16,64,0x0,0x7f651ea55280,152197425,112994099,148487,1217579408,524525,62294456299,903089281,0,249191757668,381083503795582,381961942954015,381962282497003,381083594574430
