Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_INSTS_SMEM,SQ_INST_LEVEL_SMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,2622545,2622545,33554432,1024,0,0,12,4,32,64,0x0,0x7fb0b47f5380,1696416,298591016,33443658112,386509912949516,388815760490734,388816036841280,386510150347438
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,2622545,2622545,33554432,1024,0,0,8,0,16,64,0x0,0x7fb0b47f5200,1048576,838122,93484448,386510150382358,388816036892487,388816122287879,386510222188124
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,2622545,2622545,33554432,1024,0,0,8,0,16,64,0x0,0x7fb0b47f5280,1060480,22659352,2538363264,386510222210744,388816122320405,388816187256671,386510292320986
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,2622545,2622545,33554432,1024,0,0,8,0,16,64,0x0,0x7fb0b47f5240,1572864,1479836,166148904,386510292343536,388816187283871,388816237475544,386510341677423
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,2622545,2622545,33554432,1024,0,0,8,0,16,64,0x0,0x7fb0b47f52c0,1600826,26318594,2947509944,386510341707833,388816237502168,388816284927446,386510392430286
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,2622545,2622545,16777216,1024,8192,0,20,4,32,64,0x0,0x7fb0b47f5340,1347584,16276236,1822791408,386510392457926,388816284956406,388816303995059,386510411888514
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,2622545,2622545,33554432,1024,0,0,8,0,16,64,0x0,0x7fb0b47f5200,1060387,18197302,2037900752,386510411920074,388816304040125,388816391571532,386510480659699
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,2622545,2622545,33554432,1024,0,0,8,0,16,64,0x0,0x7fb0b47f5280,1070276,31984260,3582214240,386510480612729,388816391600888,388816481608424,386510552061019
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,2622545,2622545,33554432,1024,0,0,8,0,16,64,0x0,0x7fb0b47f5240,1572864,1480962,166304072,386510552072699,388816481638664,388816529397861,386510600784102
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,2622545,2622545,33554432,1024,0,0,8,0,16,64,0x0,0x7fb0b47f52c0,1612513,40389340,4523123448,386510600815571,388816529424370,388816576221330,386510650650043
10,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,20,2622545,2622545,16777216,1024,8192,0,20,4,32,64,0x0,0x7fb0b47f5340,1474304,43965442,4924586096,386510650682493,388816576248530,388816595646382,386510670304489
11,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,22,2622545,2622545,33554432,1024,0,0,8,0,16,64,0x0,0x7fb0b47f5200,1107817,72195954,8085928504,386510670344219,388816595689517,388816678415480,386510742534121
12,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,24,2622545,2622545,33554432,1024,0,0,8,0,16,64,0x0,0x7fb0b47f5280,1134322,89459084,10019274680,386510742555671,388816678498370,388816764252804,386510826971749
13,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,26,2622545,2622545,33554432,1024,0,0,8,0,16,64,0x0,0x7fb0b47f5240,1693981,89949864,10073748656,386510827017228,388816764285764,388816825670198,386510876879331
14,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,28,2622545,2622545,33554432,1024,0,0,8,0,16,64,0x0,0x7fb0b47f52c0,1673862,73808838,8265494200,386510876913370,388816825705531,388816884874940,386510926324137
15,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,30,2622545,2622545,16777216,1024,8192,0,20,4,32,64,0x0,0x7fb0b47f5340,1310720,1321372,148226136,386510926360686,388816884911740,388816904149436,386510945773224
16,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,32,2622545,2622545,33554432,1024,0,0,8,0,16,64,0x0,0x7fb0b47f5200,1057659,12569696,1408081936,386510945811044,388816904196992,388816995130140,386511013441349
17,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,34,2622545,2622545,33554432,1024,0,0,8,0,16,64,0x0,0x7fb0b47f5280,1050281,3425670,383728296,386511013466409,388816995171216,388817068111932,386511105363897
18,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,36,2622545,2622545,33554432,1024,0,0,8,0,16,64,0x0,0x7fb0b47f5240,1572864,1483580,166071880,386511105385936,388817068136092,388817115632732,386511154535205
19,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,38,2622545,2622545,33554432,1024,0,0,8,0,16,64,0x0,0x7fb0b47f52c0,1572864,1535254,171301320,386511154566155,388817115654085,388817166252643,386511203535395
20,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,40,2622545,2622545,16777216,1024,8192,0,20,4,32,64,0x0,0x7fb0b47f5340,1310720,1332472,149424176,386511203556635,388817166279683,388817185332260,386511222903444
21,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,42,2622545,2622545,33554432,1024,0,0,8,0,16,64,0x0,0x7fb0b47f5200,1048576,822726,91862752,386511222928144,388817185374642,388817287373514,386511296527943
