Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_INSTS_VMEM,SQ_INST_LEVEL_VMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,2675314,2675314,33554432,1024,0,0,12,4,32,64,0x0,0x7f7895b2d380,1700288,11017675318,1233979473675,386576618169312,388815760490734,388816036841280,386576850542447
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,2675314,2675314,33554432,1024,0,0,8,0,16,64,0x0,0x7f7895b2d200,1054992,2334961303,261515567475,386576850549207,388816036892487,388816122287879,386576919077821
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,2675314,2675314,33554432,1024,0,0,8,0,16,64,0x0,0x7f7895b2d280,1048576,2261177694,253251824860,386576919088391,388816122320405,388816187256671,386576987225690
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,2675314,2675314,33554432,1024,0,0,8,0,16,64,0x0,0x7f7895b2d240,1572864,1878535565,210395902072,386576987206270,388816187283871,388816237475544,386577035288863
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,2675314,2675314,33554432,1024,0,0,8,0,16,64,0x0,0x7f7895b2d2c0,1572864,2005278407,224591066724,386577035277323,388816237502168,388816284927446,386577083982590
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,2675314,2675314,16777216,1024,8192,0,20,4,32,64,0x0,0x7f7895b2d340,1064960,945829040,105932785311,386577083959141,388816284956406,388816303995059,386577103217794
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,2675314,2675314,33554432,1024,0,0,8,0,16,64,0x0,0x7f7895b2d200,1048576,2210594907,247586533356,386577103170424,388816304040125,388816391571532,386577171467011
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,2675314,2675314,33554432,1024,0,0,8,0,16,64,0x0,0x7f7895b2d280,1048576,2236133910,250446993284,386577171445061,388816391600888,388816481608424,386577239369292
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,2675314,2675314,33554432,1024,0,0,8,0,16,64,0x0,0x7f7895b2d240,1572864,1825694503,204477846640,386577239353422,388816481638664,388816529397861,386577286907761
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,2675314,2675314,33554432,1024,0,0,8,0,16,64,0x0,0x7f7895b2d2c0,1572864,2854795781,319737075132,386577286896251,388816529424370,388816576221330,386577359991491
