Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,2695456,2695456,33554432,1024,0,0,12,4,32,64,0x0,0x7f1849f75380,388815760458229,388815760490734,388816036841280,388816036948070
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f75200,388816036874711,388816036892487,388816122287879,388816122360648
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f75280,388816122305688,388816122320405,388816187256671,388816187323210
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f75240,388816187269760,388816187283871,388816237475544,388816237535449
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f752c0,388816237488219,388816237502168,388816284927446,388816284995455
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,2695456,2695456,16777216,1024,8192,0,20,4,32,64,0x0,0x7f1849f75340,388816284941886,388816284956406,388816303995059,388816304071665
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f75200,388816304025185,388816304040125,388816391571532,388816391641331
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f75280,388816391586502,388816391600888,388816481608424,388816481681093
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f75240,388816481624793,388816481638664,388816529397861,388816529455696
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f752c0,388816529410057,388816529424370,388816576221330,388816576288969
10,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,20,2695456,2695456,16777216,1024,8192,0,20,4,32,64,0x0,0x7f1849f75340,388816576234839,388816576248530,388816595646382,388816595720485
11,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,22,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f75200,388816595675196,388816595689517,388816678415480,388816678528649
12,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,24,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f75280,388816678472019,388816678498370,388816764252804,388816764329333
13,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,26,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f75240,388816764270253,388816764285764,388816825670198,388816825738200
14,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,28,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f752c0,388816825689480,388816825705531,388816884874940,388816884951139
15,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,30,2695456,2695456,16777216,1024,8192,0,20,4,32,64,0x0,0x7f1849f75340,388816884896710,388816884911740,388816904149436,388816904224897
16,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,32,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f75200,388816904182897,388816904196992,388816995130140,388816995214329
17,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,34,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f75280,388816995152810,388816995171216,388817068111932,388817068178851
18,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,36,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f75240,388817068124642,388817068136092,388817115632732,388817115689007
19,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,38,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f752c0,388817115643137,388817115654085,388817166252643,388817166319372
20,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,40,2695456,2695456,16777216,1024,8192,0,20,4,32,64,0x0,0x7f1849f75340,388817166265242,388817166279683,388817185332260,388817185406561
21,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,42,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f75200,388817185361212,388817185374642,388817287373514,388817287453413
22,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,44,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f75280,388817287394354,388817287413074,388817378335656,388817378408266
23,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,46,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f75240,388817378352086,388817378366856,388817438660417,388817438720884
24,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,48,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f752c0,388817438672854,388817438687766,388817516032312,388817516151231
25,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,50,2695456,2695456,16777216,1024,8192,0,20,4,32,64,0x0,0x7f1849f75340,388817516077572,388817516098552,388817535340087,388817535418189
26,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,52,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f75200,388817535371649,388817535386084,388817601568429,388817601634068
27,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,54,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f75280,388817601579369,388817601595089,388817682175145,388817682248104
28,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,56,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f75240,388817682192095,388817682206665,388817733422496,388817733479113
29,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,58,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f752c0,388817733433433,388817733443977,388817781127018,388817781190087
30,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,60,2695456,2695456,16777216,1024,8192,0,20,4,32,64,0x0,0x7f1849f75340,388817781136957,388817781147978,388817818220013,388817818322286
31,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,62,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f75200,388817818289117,388817818313970,388817890600135,388817890673154
32,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,64,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f75280,388817890615465,388817890630558,388817960718166,388817960785625
33,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,66,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f75240,388817960732615,388817960746326,388818007723769,388818007795826
34,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,68,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f752c0,388818007748456,388818007764872,388818056552880,388818056622228
35,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,70,2695456,2695456,16777216,1024,8192,0,20,4,32,64,0x0,0x7f1849f75340,388818056566949,388818056582480,388818075796019,388818075870407
36,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,72,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f75200,388818075824997,388818075838645,388818164203795,388818164281254
37,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,74,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f75280,388818164224845,388818164242970,388818253817881,388818253888570
38,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,76,2695456,2695456,33554432,1024,0,0,8,0,16,64,0x0,0x7f1849f75240,388818253832791,388818253847801,388818313504247,388818313563595
