Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,CPC_ME1_BUSY_FOR_PACKET_DECODE,SQ_CYCLES,SQ_WAVES,SQ_WAVE_CYCLES,SQ_BUSY_CYCLES,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,2018918,2018918,33554432,1024,0,0,12,4,32,64,0x0,0x7fcbbbfd5380,1645762026,1624769221,175178145,13166096216,527434,727303338669,12914564287,0,2909227386816,382700165536665,384482318406034,384482560781411,382701164141654
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,2018918,2018918,33554432,1024,0,0,8,0,16,64,0x0,0x7fcbbbfd5200,568705631,527873908,5254681,4549645056,526759,297758375173,4216060988,0,1191047493308,382701164171194,384482560833498,384482647208497,382701502793078
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,2018918,2018918,33554432,1024,0,0,8,0,16,64,0x0,0x7fcbbbfd5280,852312300,814826302,112270669,6818498408,527680,455349611103,6455387595,0,1821412479996,382701502793788,384482647238725,384482715437925,382702010145066
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,2018918,2018918,33554432,1024,0,0,8,0,16,64,0x0,0x7fcbbbfd5240,333034924,302194817,1323680,2664279400,525101,149029167732,2414960163,0,596130620496,382702010083097,384482715464645,384482771870271,382702208446198
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,2018918,2018918,33554432,1024,0,0,8,0,16,64,0x0,0x7fcbbbfd52c0,301062210,301062210,737298,2408497688,524288,149690394266,2405184367,0,598775493924,382702208461448,384482771897147,384482820701182,382702387832393
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,2018918,2018918,16777216,1024,8192,0,20,4,32,64,0x0,0x7fcbbbfd5340,33819310,33819310,124579,270554488,262144,18865529911,270270082,0,75469255900,382702387829673,384482820731422,384482839768332,382702408345224
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,2018918,2018918,33554432,1024,0,0,8,0,16,64,0x0,0x7fcbbbfd5200,557372931,524504776,18795667,4458983456,529617,282441703624,4181288817,0,1129780911528,382702408362994,384482839812910,384482917177334,382702740025330
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,2018918,2018918,33554432,1024,0,0,8,0,16,64,0x0,0x7fcbbbfd5280,526299685,485437879,4769950,4210397488,527125,267749690687,3878529502,0,1071012785708,382702740058129,384482917213198,384483005764821,382703053369991
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,2018918,2018918,33554432,1024,0,0,8,0,16,64,0x0,0x7fcbbbfd5240,305937792,305902603,408910,2447502344,526745,143167660763,2443643859,0,572684650252,382703053417351,384483005796181,384483053337663,382703235565188
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,2018918,2018918,33554432,1024,0,0,8,0,16,64,0x0,0x7fcbbbfd52c0,354990084,313820024,10382980,2839920680,531909,151199224043,2499072935,0,604811056512,382703235548048,384483053359637,384483100464477,382703446777779
10,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,20,2018918,2018918,16777216,1024,8192,0,20,4,32,64,0x0,0x7fcbbbfd5340,33550973,33550973,73027,268407792,262144,18506008410,268188540,0,74031165156,382703446794128,384483100491037,384483119904906,382703467134732
11,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,22,2018918,2018918,33554432,1024,0,0,8,0,16,64,0x0,0x7fcbbbfd5200,572854567,558967828,8236259,4582836544,526445,307807038617,4463914747,0,1231242157464,382703467174181,384483119947769,384483187990794,382703807998583
12,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,24,2018918,2018918,33554432,1024,0,0,8,0,16,64,0x0,0x7fcbbbfd5280,544402473,544088858,18065760,4355219792,525598,296220620796,4341887102,0,1184896444384,382703807993463,384483188025328,384483289570692,382704132142235
13,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,26,2018918,2018918,33554432,1024,0,0,8,0,16,64,0x0,0x7fcbbbfd5240,379061023,345934662,2558671,3032488192,527387,167682357500,2760185896,0,670743476376,382704132144615,384483289670692,384483349887511,382704357790789
14,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,28,2018918,2018918,33554432,1024,0,0,8,0,16,64,0x0,0x7fcbbbfd52c0,340977288,340579583,19193673,2727818312,533364,162116326350,2709532554,0,648479522264,382704357789609,384483349923046,384483399678759,382704560953302
15,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,30,2018918,2018918,16777216,1024,8192,0,20,4,32,64,0x0,0x7fcbbbfd5340,32120298,32120298,97167,256962392,262144,17487803330,256738117,0,69958341956,382704560916232,384483399710919,384483418777429,382704580240066
16,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,32,2018918,2018918,33554432,1024,0,0,8,0,16,64,0x0,0x7fcbbbfd5200,765653941,724032050,23865954,6125231536,527246,408046654539,5777577745,0,1632200652932,382704580255386,384483418825941,384483512356425,382705035785371
