Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,1778734,1778734,33554432,1024,0,0,12,4,32,64,0x0,0x7f2ef7955380,1746438878,1724003437,526199,17324946,23148834,2591731112,382075082790394,384482318406034,384482560781411,382076141107842
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,1778734,1778734,33554432,1024,0,0,8,0,16,64,0x0,0x7f2ef7955200,749032219,708311666,526274,3055995,9795193,1096840092,382076141096952,384482560833498,384482647208497,382076586956323
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,1778734,1778734,33554432,1024,0,0,8,0,16,64,0x0,0x7f2ef7955280,934570233,861844406,526361,5738250,16977018,1901205648,382076586977102,384482647238725,384482715437925,382077143163198
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,1778734,1778734,33554432,1024,0,0,8,0,16,64,0x0,0x7f2ef7955240,308212340,308171599,526246,4627296,2629951,294562368,382077143061489,384482715464645,384482771870271,382077326612359
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,1778734,1778734,33554432,1024,0,0,8,0,16,64,0x0,0x7f2ef79552c0,337621691,306096920,526720,12771995,4662101,521958408,382077326547860,384482771897147,384482820701182,382077527310738
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,1778734,1778734,16777216,1024,8192,0,20,4,32,64,0x0,0x7f2ef7955340,33843903,33843903,262144,10125312,1580829,177204724,382077527334658,384482820731422,384482839768332,382077547894741
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,1778734,1778734,33554432,1024,0,0,8,0,16,64,0x0,0x7f2ef7955200,567249625,526270799,525401,4126261,3469393,388451368,382077547910511,384482839812910,384482917177334,382077885445159
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,1778734,1778734,33554432,1024,0,0,8,0,16,64,0x0,0x7f2ef7955280,555151320,517091954,526570,5130806,10221732,1144926368,382077885431709,384482917213198,384483005764821,382078215871362
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,1778734,1778734,33554432,1024,0,0,8,0,16,64,0x0,0x7f2ef7955240,306072131,306046662,526312,4864720,2650248,297095288,382078215868342,384483005796181,384483053337663,382078398253888
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,1778734,1778734,33554432,1024,0,0,8,0,16,64,0x0,0x7f2ef79552c0,357695491,342322037,529633,12913335,9880678,1106438672,382078398235218,384483053359637,384483100464477,382078611208152
10,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,20,1778734,1778734,16777216,1024,8192,0,20,4,32,64,0x0,0x7f2ef7955340,33926716,33926716,262144,10125312,1577728,176682772,382078611194302,384483100491037,384483119904906,382078631774235
11,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,22,1778734,1778734,33554432,1024,0,0,8,0,16,64,0x0,0x7f2ef7955200,588735113,556444749,526529,5064247,6275967,702663564,382078631798825,384483119947769,384483187990794,382078982207450
12,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,24,1778734,1778734,33554432,1024,0,0,8,0,16,64,0x0,0x7f2ef7955280,997624580,955658414,527379,17165281,25556876,2861121876,382078982210670,384483188025328,384483289570692,382079575915560
