Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_INSTS_SMEM,SQ_INST_LEVEL_SMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,1921324,1921324,33554432,1024,0,0,12,4,32,64,0x0,0x7fcc4e6f5380,1684608,1758557836,196957495744,382466789632438,384482318406034,384482560781411,382468158221179
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f5200,1080599,582299518,65217580048,382468158119849,384482560833498,384482647208497,382468724923875
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f5280,1067393,237266210,26574256008,382468724915825,384482647238725,384482715437925,382469135961661
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f5240,1572864,12753416,1428189024,382469135934381,384482715464645,384482771870271,382469321087863
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f52c0,1572864,17135020,1919812104,382469321064553,384482771897147,384482820701182,382469507496727
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,1921324,1921324,16777216,1024,8192,0,20,4,32,64,0x0,0x7fcc4e6f5340,1310720,1786966,200056328,382469507480427,384482820731422,384482839768332,382469528100151
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f5200,1071299,257104414,28794935200,382469528115441,384482839812910,384482917177334,382469992909049
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f5280,1048576,3817454,428002608,382469992851909,384482917213198,384483005764821,382470536986354
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f5240,1595649,195744674,21923314992,382470536845554,384483005796181,384483053337663,382470913197981
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f52c0,1572864,65273844,7310446544,382470913111482,384483053359637,384483100464477,382471224468774
10,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,20,1921324,1921324,16777216,1024,8192,0,20,4,32,64,0x0,0x7fcc4e6f5340,1310720,2180982,244699680,382471224455704,384483100491037,384483119904906,382471244138844
11,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,22,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f5200,1089000,171146862,19167716720,382471244156534,384483119947769,384483187990794,382471570028168
12,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,24,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f5280,1075701,110256642,12348929240,382471570013808,384483188025328,384483289570692,382471890592545
13,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,26,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f5240,1656161,313851332,35150840432,382471890552345,384483289670692,384483349887511,382472081307433
14,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,28,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f52c0,1610994,183264668,20526280248,382472081292713,384483349923046,384483399678759,382472300184569
15,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,30,1921324,1921324,16777216,1024,8192,0,20,4,32,64,0x0,0x7fcc4e6f5340,1310720,2989270,334327864,382472300164319,384483399710919,384483418777429,382472320939863
16,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,32,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f5200,1048700,89310484,10002807912,382472320950463,384483418825941,384483512356425,382472628485809
17,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,34,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f5280,1048576,6941564,777374464,382472628474119,384483512402379,384483601686796,382472927137769
18,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,36,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f5240,1572864,16045578,1796478376,382472927123919,384483601714796,384483655211781,382473132722546
19,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,38,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f52c0,1664841,202807288,22715327160,382473132707706,384483655233682,384483702163004,382473315448903
20,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,40,1921324,1921324,16777216,1024,8192,0,20,4,32,64,0x0,0x7fcc4e6f5340,1310720,1232408,138478600,382473315429953,384483702184284,384483721251275,382473335899588
21,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,42,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f5200,1160269,611701498,68511013856,382473335910248,384483721293607,384483827061177,382473748057116
22,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,44,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f5280,1111444,289171800,32387291952,382473748068946,384483827105104,384483922642625,382474095111452
23,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,46,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f5240,1619767,385818690,43212020880,382474095092162,384483922675585,384483973417696,382474455377576
24,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,48,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f52c0,1602562,102260436,11453076464,382474455321586,384483973439247,384484037838919,382474654172175
25,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,50,1921324,1921324,16777216,1024,8192,0,20,4,32,64,0x0,0x7fcc4e6f5340,1310720,1324436,148275920,382474654154385,384484037907079,384484057359827,382474674939648
26,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,52,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f5200,1183891,746194830,83573477560,382474674925018,384484057406785,384484124647572,382474968598089
27,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,54,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f5280,1048576,99310180,11122681048,382474968559029,384484124677344,384484203451222,382475411032343
28,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,56,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f5240,1572864,23144790,2592100264,382475411040463,384484203483222,384484263868185,382475605814756
29,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,58,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f52c0,1572864,18092604,2027067024,382475605834676,384484263896466,384484325112627,382475825282889
30,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,60,1921324,1921324,16777216,1024,8192,0,20,4,32,64,0x0,0x7fcc4e6f5340,1310720,2661120,297958256,382475825307598,384484325814864,384484362974768,382475846105892
31,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,62,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f5200,1104779,362454878,40594820200,382475846138471,384484363054112,384484430704177,382476142560205
32,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,64,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f5280,1069377,169179716,18947929296,382476142546745,384484430737517,384484520014568,382476457172878
33,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,66,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f5240,1664717,285677594,31994564480,382476457150608,384484520049928,384484568945801,382476641422695
34,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,68,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f52c0,1654239,341177444,38212756080,382476641365656,384484568975536,384484615691576,382476837890968
35,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,70,1921324,1921324,16777216,1024,8192,0,20,4,32,64,0x0,0x7fcc4e6f5340,1359680,19860858,2224074080,382476837867908,384484615719576,384484635158564,382476858703111
36,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,72,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f5200,1048576,31359678,3511452736,382476858686301,384484635201982,384484726119030,382477293345753
37,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,74,1921324,1921324,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc4e6f5280,1048576,50644718,5672242888,382477293333363,384484726154740,384484811821402,382477636839130
