Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_INSTS_LDS,SQ_INST_LEVEL_LDS,SQ_ACCUM_PREV_HIRES,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,1851274,1851274,33554432,1024,0,0,12,4,32,64,0x0,0x7f5c3084d380,0,0,0,382275140143109,384482318406034,384482560781411,382276220675034
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,1851274,1851274,33554432,1024,0,0,8,0,16,64,0x0,0x7f5c3084d200,0,0,0,382276220645474,384482560833498,384482647208497,382276564286475
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,1851274,1851274,33554432,1024,0,0,8,0,16,64,0x0,0x7f5c3084d280,0,0,0,382276564289665,384482647238725,384482715437925,382276868722631
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,1851274,1851274,33554432,1024,0,0,8,0,16,64,0x0,0x7f5c3084d240,0,0,0,382276868725541,384482715464645,384482771870271,382277063805706
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,1851274,1851274,33554432,1024,0,0,8,0,16,64,0x0,0x7f5c3084d2c0,0,0,0,382277063799896,384482771897147,384482820701182,382277278682462
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,1851274,1851274,16777216,1024,8192,0,20,4,32,64,0x0,0x7f5c3084d340,1572864,738258,82553721,382277278694092,384482820731422,384482839768332,382277299634383
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,1851274,1851274,33554432,1024,0,0,8,0,16,64,0x0,0x7f5c3084d200,0,0,0,382277299647493,384482839812910,384482917177334,382277704257082
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,1851274,1851274,33554432,1024,0,0,8,0,16,64,0x0,0x7f5c3084d280,0,0,0,382277704265502,384482917213198,384483005764821,382278061619219
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,1851274,1851274,33554432,1024,0,0,8,0,16,64,0x0,0x7f5c3084d240,0,0,0,382278061615119,384483005796181,384483053337663,382278272778119
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,1851274,1851274,33554432,1024,0,0,8,0,16,64,0x0,0x7f5c3084d2c0,0,0,0,382278272820389,384483053359637,384483100464477,382278467765905
10,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,20,1851274,1851274,16777216,1024,8192,0,20,4,32,64,0x0,0x7f5c3084d340,1572864,736670,82566423,382278467764905,384483100491037,384483119904906,382278488286319
11,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,22,1851274,1851274,33554432,1024,0,0,8,0,16,64,0x0,0x7f5c3084d200,0,0,0,382278488313729,384483119947769,384483187990794,382278942079604
12,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,24,1851274,1851274,33554432,1024,0,0,8,0,16,64,0x0,0x7f5c3084d280,0,0,0,382278942033554,384483188025328,384483289570692,382279505231609
13,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,26,1851274,1851274,33554432,1024,0,0,8,0,16,64,0x0,0x7f5c3084d240,0,0,0,382279505230549,384483289670692,384483349887511,382279803998706
14,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,28,1851274,1851274,33554432,1024,0,0,8,0,16,64,0x0,0x7f5c3084d2c0,0,0,0,382279804022746,384483349923046,384483399678759,382279966481447
