Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,2505621,2505621,33554432,1024,0,0,12,4,32,64,0x0,0x7fe307bb5380,384482318376843,384482318406034,384482560781411,384482560883470
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb5200,384482560816041,384482560833498,384482647208497,384482647277206
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb5280,384482647223266,384482647238725,384482715437925,384482715502634
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb5240,384482715449415,384482715464645,384482771870271,384482771929831
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb52c0,384482771883061,384482771897147,384482820701182,384482820769552
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,2505621,2505621,16777216,1024,8192,0,20,4,32,64,0x0,0x7fe307bb5340,384482820718012,384482820731422,384482839768332,384482839841742
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb5200,384482839796832,384482839812910,384482917177334,384482917280053
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb5280,384482917191493,384482917213198,384483005764821,384483005847900
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb5240,384483005777351,384483005796181,384483053337663,384483053395031
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb52c0,384483053347582,384483053359637,384483100464477,384483100529676
10,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,20,2505621,2505621,16777216,1024,8192,0,20,4,32,64,0x0,0x7fe307bb5340,384483100476057,384483100491037,384483119904906,384483119979253
11,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,22,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb5200,384483119933714,384483119947769,384483187990794,384483188063833
12,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,24,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb5280,384483188009523,384483188025328,384483289570692,384483289694011
13,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,26,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb5240,384483289641091,384483289670692,384483349887511,384483349954566
14,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,28,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb52c0,384483349905196,384483349923046,384483399678759,384483399749718
15,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,30,2505621,2505621,16777216,1024,8192,0,20,4,32,64,0x0,0x7fe307bb5340,384483399696639,384483399710919,384483418777429,384483418857818
16,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,32,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb5200,384483418810988,384483418825941,384483512356425,384483512437944
17,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,34,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb5280,384483512383604,384483512402379,384483601686796,384483601753455
18,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,36,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb5240,384483601699535,384483601714796,384483655211781,384483655268386
19,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,38,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb52c0,384483655221937,384483655233682,384483702163004,384483702226273
20,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,40,2505621,2505621,16777216,1024,8192,0,20,4,32,64,0x0,0x7fe307bb5340,384483702173283,384483702184284,384483721251275,384483721323983
21,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,42,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb5200,384483721279113,384483721293607,384483827061177,384483827140786
22,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,44,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb5280,384483827085716,384483827105104,384483922642625,384483922714524
23,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,46,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb5240,384483922660425,384483922675585,384483973417696,384483973474499
24,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,48,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb52c0,384483973428549,384483973439247,384484037838919,384484037953588
25,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,50,2505621,2505621,16777216,1024,8192,0,20,4,32,64,0x0,0x7fe307bb5340,384484037884959,384484037907079,384484057359827,384484057438285
26,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,52,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb5200,384484057390255,384484057406785,384484124647572,384484124715631
27,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,54,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb5280,384484124661902,384484124677344,384484203451222,384484203522550
28,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,56,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb5240,384484203468131,384484203483222,384484263868185,384484263926734
29,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,58,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb52c0,384484263881084,384484263896466,384484325112627,384484325811416
30,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,60,2505621,2505621,16777216,1024,8192,0,20,4,32,64,0x0,0x7fe307bb5340,384484325792126,384484325814864,384484362974768,384484363066713
31,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,62,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb5200,384484363036983,384484363054112,384484430704177,384484430774816
32,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,64,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb5280,384484430721896,384484430737517,384484520014568,384484520088387
33,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,66,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb5240,384484520034037,384484520049928,384484568945801,384484569022997
34,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,68,2505621,2505621,33554432,1024,0,0,8,0,16,64,0x0,0x7fe307bb52c0,384484568961247,384484568975536,384484615691576,384484615757565
