Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,2506045,2506045,33554432,1024,0,0,12,4,32,64,0x0,0x7fb9e5cd5380,463567587,463567587,524288,2621440,385271,43122760,384574404856087,386268297647142,386268539614026,384574699347730
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,2506045,2506045,33554432,1024,0,0,8,0,16,64,0x0,0x7fb9e5cd5200,156847682,156847682,524288,1572864,229446,25852408,384574699267041,386268539666963,386268623847367,384574792833342
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,2506045,2506045,33554432,1024,0,0,8,0,16,64,0x0,0x7fb9e5cd5280,150936783,150936783,524288,2097152,304373,34013964,384574792771472,386268623878607,386268695356953,384574882756964
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,2506045,2506045,33554432,1024,0,0,8,0,16,64,0x0,0x7fb9e5cd5240,100510869,100510869,524288,2621440,384697,43092212,384574882701265,386268695383993,386268743963846,384574942632176
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,2506045,2506045,33554432,1024,0,0,8,0,16,64,0x0,0x7fb9e5cd52c0,83640902,83640902,524288,2621440,384398,42981676,384574942589517,386268743990708,386268804491179,384574992609694
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,2506045,2506045,16777216,1024,8192,0,20,4,32,64,0x0,0x7fb9e5cd5340,32085680,32085680,262144,10125312,1484081,165925888,384574992551195,386268804521899,386268823770324,384575011836268
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,2506045,2506045,33554432,1024,0,0,8,0,16,64,0x0,0x7fb9e5cd5200,131862578,131862578,524288,1572864,223652,25165824,384575011804638,386268823812698,386268891475533,384575090434488
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,2506045,2506045,33554432,1024,0,0,8,0,16,64,0x0,0x7fb9e5cd5280,158266786,158266786,524288,2097152,298254,33554484,384575090372159,386268891502822,386268974156660,384575184705703
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,2506045,2506045,33554432,1024,0,0,8,0,16,64,0x0,0x7fb9e5cd5240,85736634,85736634,524288,2621440,374387,41943060,384575184644063,386268974184820,386269022538117,384575235786291
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,2506045,2506045,33554432,1024,0,0,8,0,16,64,0x0,0x7fb9e5cd52c0,80189512,80189512,524288,2621440,375126,41943068,384575235740721,386269022560232,386269073063126,384575283606428
10,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,20,2506045,2506045,16777216,1024,8192,0,20,4,32,64,0x0,0x7fb9e5cd5340,54046145,32515866,263808,10706041,2081418,232885256,384575283546678,386269073096086,386269092318749,384575315843549
11,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,22,2506045,2506045,33554432,1024,0,0,8,0,16,64,0x0,0x7fb9e5cd5200,115837040,115837040,524288,1572864,233516,26038356,384575315836799,386269092363077,386269159844322,384575385128459
12,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,24,2506045,2506045,33554432,1024,0,0,8,0,16,64,0x0,0x7fb9e5cd5280,135578478,135578478,524288,2097152,301340,33848020,384575385075090,386269159873526,386269242266391,384575465899941
13,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,26,2506045,2506045,33554432,1024,0,0,8,0,16,64,0x0,0x7fb9e5cd5240,87896057,87896057,524288,2621440,385193,43083164,384575465841192,386269242347351,386269290269441,384575518287558
14,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,28,2506045,2506045,33554432,1024,0,0,8,0,16,64,0x0,0x7fb9e5cd52c0,121907455,83663787,525101,2788317,927861,103927976,384575518249278,386269290305745,386269337418405,384575590825771
15,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,30,2506045,2506045,16777216,1024,8192,0,20,4,32,64,0x0,0x7fb9e5cd5340,32342662,32342662,262144,10125312,1497935,167885088,384575590782981,386269337453925,386269356490347,384575610230363
16,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,32,2506045,2506045,33554432,1024,0,0,8,0,16,64,0x0,0x7fb9e5cd5200,113578119,113578119,524288,1572864,232336,26079948,384575610204923,386269356537655,386269428673757,384575677949877
17,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,34,2506045,2506045,33554432,1024,0,0,8,0,16,64,0x0,0x7fb9e5cd5280,141447875,141447875,524288,2097152,304033,34015724,384575677892618,386269428700666,386269522192706,384575762227398
18,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,36,2506045,2506045,33554432,1024,0,0,8,0,16,64,0x0,0x7fb9e5cd5240,138968626,100680023,524878,2929270,802255,89752304,384575762163549,386269522232866,386269569434163,384575844876834
19,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,38,2506045,2506045,33554432,1024,0,0,8,0,16,64,0x0,0x7fb9e5cd52c0,80219684,80219684,524288,2621440,382417,42815208,384575844829144,386269569462042,386269616475658,384575892730780
20,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,40,2506045,2506045,16777216,1024,8192,0,20,4,32,64,0x0,0x7fb9e5cd5340,32025175,32025175,262144,10125312,1487927,166690848,384575892685270,386269616498058,386269635899117,384575911908784
21,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,42,2506045,2506045,33554432,1024,0,0,8,0,16,64,0x0,0x7fb9e5cd5200,141769924,141769924,524288,1572864,233344,26022512,384575911904374,386269635942648,386269701313334,384575996554212
