Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_INSTS_LDS,SQ_INST_LEVEL_LDS,SQ_ACCUM_PREV_HIRES,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,2506546,2506546,33554432,1024,0,0,12,4,32,64,0x0,0x7f443c06d380,0,0,0,384633016105502,386268297647142,386268539614026,384633308772147
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,2506546,2506546,33554432,1024,0,0,8,0,16,64,0x0,0x7f443c06d200,0,0,0,384633308705867,386268539666963,386268623847367,384633399242737
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,2506546,2506546,33554432,1024,0,0,8,0,16,64,0x0,0x7f443c06d280,0,0,0,384633399179978,386268623878607,386268695356953,384633486423316
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,2506546,2506546,33554432,1024,0,0,8,0,16,64,0x0,0x7f443c06d240,0,0,0,384633486366047,386268695383993,386268743963846,384633544637248
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,2506546,2506546,33554432,1024,0,0,8,0,16,64,0x0,0x7f443c06d2c0,0,0,0,384633544590708,386268743990708,386268804491179,384633591793266
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,2506546,2506546,16777216,1024,8192,0,20,4,32,64,0x0,0x7f443c06d340,1572864,737928,82548093,384633591733617,386268804521899,386268823770324,384633611033758
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,2506546,2506546,33554432,1024,0,0,8,0,16,64,0x0,0x7f443c06d200,0,0,0,384633610996279,386268823812698,386268891475533,384633677462188
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,2506546,2506546,33554432,1024,0,0,8,0,16,64,0x0,0x7f443c06d280,0,0,0,384633677408519,386268891502822,386268974156660,384633746789933
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,2506546,2506546,33554432,1024,0,0,8,0,16,64,0x0,0x7f443c06d240,0,0,0,384633746734704,386268974184820,386269022538117,384633800954880
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,2506546,2506546,33554432,1024,0,0,8,0,16,64,0x0,0x7f443c06d2c0,0,0,0,384633800907901,386269022560232,386269073063126,384633848112299
10,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,20,2506546,2506546,16777216,1024,8192,0,20,4,32,64,0x0,0x7f443c06d340,1572864,739050,82534249,384633848052359,386269073096086,386269092318749,384633867301201
11,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,22,2506546,2506546,33554432,1024,0,0,8,0,16,64,0x0,0x7f443c06d200,0,0,0,384633867263302,386269092363077,386269159844322,384633949428334
12,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,24,2506546,2506546,33554432,1024,0,0,8,0,16,64,0x0,0x7f443c06d280,0,0,0,384633949412604,386269159873526,386269242266391,384634028105407
13,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,26,2506546,2506546,33554432,1024,0,0,8,0,16,64,0x0,0x7f443c06d240,0,0,0,384634028047918,386269242347351,386269290269441,384634088290132
14,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,28,2506546,2506546,33554432,1024,0,0,8,0,16,64,0x0,0x7f443c06d2c0,0,0,0,384634088242853,386269290305745,386269337418405,384634148377277
15,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,30,2506546,2506546,16777216,1024,8192,0,20,4,32,64,0x0,0x7f443c06d340,1572864,737838,82518958,384634148319568,386269337453925,386269356490347,384634167752718
16,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,32,2506546,2506546,33554432,1024,0,0,8,0,16,64,0x0,0x7f443c06d200,0,0,0,384634167718359,386269356537655,386269428673757,384634263084396
17,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,34,2506546,2506546,33554432,1024,0,0,8,0,16,64,0x0,0x7f443c06d280,0,0,0,384634263006717,386269428700666,386269522192706,384634355674298
