Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,CPC_ME1_BUSY_FOR_PACKET_DECODE,SQ_CYCLES,SQ_WAVES,SQ_WAVE_CYCLES,SQ_BUSY_CYCLES,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,2507385,2507385,33554432,1024,0,0,12,4,32,64,0x0,0x7f7f1bd15380,452565410,452565410,646706,3620523288,524288,188059498653,3614970464,0,752251910424,384808571502266,386268297647142,386268539614026,384808859390204
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,2507385,2507385,33554432,1024,0,0,8,0,16,64,0x0,0x7f7f1bd15200,150137969,150137969,75483,1201103760,524288,82646873385,1200847439,0,330601412244,384808859334245,386268539666963,386268623847367,384808948861486
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,2507385,2507385,33554432,1024,0,0,8,0,16,64,0x0,0x7f7f1bd15280,148676237,148676237,170597,1189409904,524288,83382024483,1189034625,0,333542025604,384808948803437,386268623878607,386268695356953,384809037447877
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,2507385,2507385,33554432,1024,0,0,8,0,16,64,0x0,0x7f7f1bd15240,81958579,81958579,131491,655668640,524288,40521745089,654664049,0,162100909588,384809037404527,386268695383993,386268743963846,384809086328963
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,2507385,2507385,33554432,1024,0,0,8,0,16,64,0x0,0x7f7f1bd152c0,79994630,79994630,55535,639957048,524288,37063610493,639448097,0,148268365508,384809086289373,386268743990708,386268804491179,384809134036320
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,2507385,2507385,16777216,1024,8192,0,20,4,32,64,0x0,0x7f7f1bd15340,32657816,32657816,69559,261262536,262144,18051208606,260953263,0,72211968128,384809133979111,386268804521899,386268823770324,384809153605080
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,2507385,2507385,33554432,1024,0,0,8,0,16,64,0x0,0x7f7f1bd15200,113457213,113457213,383171,907657712,524288,61691497137,907265287,0,246779908656,384809153584241,386268823812698,386268891475533,384809221266484
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,2507385,2507385,33554432,1024,0,0,8,0,16,64,0x0,0x7f7f1bd15280,140700377,140700377,242598,1125603024,524288,79132379943,1125266797,0,316543441916,384809221222375,386268891502822,386268974156660,384809305112471
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,2507385,2507385,33554432,1024,0,0,8,0,16,64,0x0,0x7f7f1bd15240,84183074,84183074,75183,673464600,524288,38676242882,672555294,0,154718903004,384809305066771,386268974184820,386269022538117,384809355302404
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,2507385,2507385,33554432,1024,0,0,8,0,16,64,0x0,0x7f7f1bd152c0,79284252,79284252,79315,634274024,524288,38946905358,633542449,0,155801539320,384809355261535,386269022560232,386269073063126,384809402605045
