Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,2515216,2515216,33554432,1024,0,0,12,4,32,64,0x0,0x7fa82af0d380,386268297615507,386268297647142,386268539614026,386268539715015
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,2515216,2515216,33554432,1024,0,0,8,0,16,64,0x0,0x7fa82af0d200,386268539647395,386268539666963,386268623847367,386268623917276
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,2515216,2515216,33554432,1024,0,0,8,0,16,64,0x0,0x7fa82af0d280,386268623862866,386268623878607,386268695356953,386268695421752
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,2515216,2515216,33554432,1024,0,0,8,0,16,64,0x0,0x7fa82af0d240,386268695370193,386268695383993,386268743963846,386268744023844
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,2515216,2515216,33554432,1024,0,0,8,0,16,64,0x0,0x7fa82af0d2c0,386268743976255,386268743990708,386268804491179,386268804559498
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,2515216,2515216,16777216,1024,8192,0,20,4,32,64,0x0,0x7fa82af0d340,386268804507289,386268804521899,386268823770324,386268823843029
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,2515216,2515216,33554432,1024,0,0,8,0,16,64,0x0,0x7fa82af0d200,386268823797979,386268823812698,386268891475533,386268891540682
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,2515216,2515216,33554432,1024,0,0,8,0,16,64,0x0,0x7fa82af0d280,386268891488363,386268891502822,386268974156660,386268974223849
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,2515216,2515216,33554432,1024,0,0,8,0,16,64,0x0,0x7fa82af0d240,386268974170299,386268974184820,386269022538117,386269022594102
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,2515216,2515216,33554432,1024,0,0,8,0,16,64,0x0,0x7fa82af0d2c0,386269022549473,386269022560232,386269073063126,386269073133045
